11/5/2025 8:15,65,LOW
11/5/2025 8:25,69,LOW
11/5/2025 8:30,197,HIGH
11/5/2025 8:15,65,LOW
11/5/2025 8:25,69,LOW
11/5/2025 8:30,197,HIGH
11/5/2025 8:45,206,HIGH
11/5/2025 8:55,220,HIGH
11/5/2025 8:15,65,LOW
11/5/2025 8:25,69,LOW
11/5/2025 8:15,65,LOW
11/5/2025 8:25,69,LOW
11/5/2025 8:30,197,HIGH
11/5/2025 8:45,206,HIGH
11/5/2025 8:55,220,HIGH
11/5/2025 8:15,65,LOW
11/5/2025 8:25,69,LOW
11/5/2025 8:15,65,LOW
11/5/2025 8:25,69,LOW
11/5/2025 8:45,206,HIGH
11/5/2025 8:55,220,HIGH
11/5/2025 8:15,65,LOW
11/5/2025 8:25,69,LOW
11/5/2025 8:30,197,HIGH
11/5/2025 8:45,206,HIGH
11/5/2025 8:55,220,HIGH
11/5/2025 8:15,65,LOW
11/5/2025 8:25,69,LOW
11/5/2025 8:30,197,HIGH
11/5/2025 8:45,206,HIGH
11/5/2025 8:55,220,HIGH
11/5/2025 8:15,65,LOW
11/5/2025 8:25,69,LOW
11/5/2025 8:30,197,HIGH
11/5/2025 8:45,206,HIGH
11/5/2025 8:55,220,HIGH
11/5/2025 8:15,65,LOW
11/5/2025 8:25,69,LOW
11/5/2025 8:30,197,HIGH
